ID_Pedido,ID_Cliente,Data_Pedido,Produto,Categoria,Preco_Unitario,Quantidade,Valor_Total
1000,905,2024-07-18,Aspirador de Pó,Casa e Cozinha,273.04,1,273.04
1001,398,2023-08-28,Biografia,Livros,54.34,1,54.34
1002,897,2024-09-02,Bicicleta Ergométrica,Esportes e Lazer,658.7,3,1976.1
1003,822,2024-11-01,Cafeteira,Casa e Cozinha,130.29,4,521.16
1004,1116,2024-02-26,Bola de Futebol,Esportes e Lazer,56.29,1,56.29
1005,1407,2023-08-10,Tênis,Moda e Acessórios,200.76,3,602.28
1006,1238,2025-02-07,Jogo de Pratos,Casa e Cozinha,101.68,2,203.36
1007,573,2023-11-21,Tablet,Eletrônicos,811.19,1,811.19
1008,250,2025-05-30,Bola de Futebol,Esportes e Lazer,55.29,5,276.45
1009,1181,2024-12-05,Jogo de Pratos,Casa e Cozinha,109.46,3,328.38
1010,837,2024-08-31,Romance,Livros,33.1,2,66.2
1011,358,2025-02-14,Bola de Futebol,Esportes e Lazer,57.79,1,57.79
1012,144,2024-06-11,Carregador Portátil,Eletrônicos,90.56,2,181.12
1013,1101,2024-02-21,Tablet,Eletrônicos,770.63,1,770.63
1014,1487,2023-08-07,Smartphone,Eletrônicos,1197.65,5,5988.25
1015,468,2024-03-13,Óculos de Sol,Moda e Acessórios,88.05,4,352.2
1016,1308,2025-07-04,Notebook,Eletrônicos,2352.22,3,7056.66
1017,353,2025-04-24,Smartphone,Eletrônicos,1216.01,3,3648.03
1018,408,2025-03-21,Óculos de Sol,Moda e Acessórios,85.22,2,170.44
1019,617,2024-02-02,Aspirador de Pó,Casa e Cozinha,315.17,1,315.17
1020,1001,2024-03-11,Bicicleta Ergométrica,Esportes e Lazer,732.65,1,732.65
1021,378,2025-06-07,Tênis,Moda e Acessórios,207.4,3,622.2
1022,487,2024-06-27,Smartwatch,Eletrônicos,541.86,1,541.86
1023,621,2024-12-02,Romance,Livros,31.79,1,31.79
1024,891,2025-02-07,Smartwatch,Eletrônicos,456.05,1,456.05
1025,757,2024-10-11,Calça Jeans,Moda e Acessórios,110.11,1,110.11
1026,141,2025-05-05,Tênis,Moda e Acessórios,192.22,4,768.88
1027,1422,2024-10-01,Biografia,Livros,52.73,2,105.46
1028,672,2025-02-07,Smartwatch,Eletrônicos,472.13,1,472.13
1029,392,2024-04-12,Notebook,Eletrônicos,2688.03,1,2688.03
1030,394,2024-12-13,Fone de Ouvido,Eletrônicos,154.14,2,308.28
1031,197,2025-03-02,Camiseta,Moda e Acessórios,54.27,2,108.54
1032,816,2024-11-13,Fantasia,Livros,47.46,1,47.46
1033,905,2024-10-23,Bicicleta Ergométrica,Esportes e Lazer,719.98,1,719.98
1034,1419,2025-04-23,Autoajuda,Livros,32.22,1,32.22
1035,1136,2023-11-10,Tênis,Moda e Acessórios,200.85,2,401.7
1036,573,2025-01-07,Autoajuda,Livros,27.55,1,27.55
1037,1323,2023-10-30,Panela de Pressão,Casa e Cozinha,147.26,1,147.26
1038,800,2025-04-02,Óculos de Sol,Moda e Acessórios,93.74,2,187.48
1039,1008,2024-09-08,Calça Jeans,Moda e Acessórios,119.91,1,119.91
1040,1377,2024-12-21,Bola de Futebol,Esportes e Lazer,57.34,1,57.34
1041,630,2023-12-16,Tablet,Eletrônicos,818.55,2,1637.1
1042,637,2024-01-22,Tênis,Moda e Acessórios,187.88,2,375.76
1043,521,2024-06-19,Óculos de Sol,Moda e Acessórios,93.06,1,93.06
1044,1083,2025-07-02,Calça Jeans,Moda e Acessórios,129.82,1,129.82
1045,726,2024-06-22,Liquidificador,Casa e Cozinha,78.6,5,393.0
1046,783,2023-10-24,Biografia,Livros,54.11,3,162.33
1047,641,2025-05-15,Ficção Científica,Livros,42.02,1,42.02
1048,1381,2025-03-16,Fone de Ouvido,Eletrônicos,136.39,5,681.95
1049,1388,2024-06-13,Camiseta,Moda e Acessórios,51.33,1,51.33
1050,604,2025-01-07,Fone de Ouvido,Eletrônicos,149.46,1,149.46
1051,615,2024-11-03,Jogo de Pratos,Casa e Cozinha,105.14,1,105.14
1052,1041,2025-02-20,Bicicleta Ergométrica,Esportes e Lazer,754.48,2,1508.96
1053,194,2023-09-16,Calça Jeans,Moda e Acessórios,130.61,1,130.61
1054,367,2024-02-20,Autoajuda,Livros,27.27,1,27.27
1055,828,2023-10-21,Cafeteira,Casa e Cozinha,124.26,1,124.26
1056,1179,2024-03-02,Bola de Futebol,Esportes e Lazer,63.16,1,63.16
1057,1321,2025-07-22,Smartwatch,Eletrônicos,486.13,1,486.13
1058,235,2023-08-20,Bicicleta Ergométrica,Esportes e Lazer,733.1,1,733.1
1059,983,2023-12-11,Camiseta,Moda e Acessórios,45.41,2,90.82
1060,488,2023-12-05,Ficção Científica,Livros,40.81,2,81.62
1061,243,2025-07-02,Autoajuda,Livros,31.39,2,62.78
1062,722,2023-09-13,Camiseta,Moda e Acessórios,54.14,1,54.14
1063,334,2025-02-17,Autoajuda,Livros,30.69,3,92.07
1064,1085,2025-04-20,Fantasia,Livros,45.4,1,45.4
1065,989,2023-08-14,Bicicleta Ergométrica,Esportes e Lazer,680.33,1,680.33
1066,973,2025-03-01,Ficção Científica,Livros,38.74,1,38.74
1067,184,2023-10-28,Smartphone,Eletrônicos,1159.13,1,1159.13
1068,625,2023-10-02,Panela de Pressão,Casa e Cozinha,151.86,1,151.86
1069,1355,2024-02-18,Smartwatch,Eletrônicos,499.43,3,1498.29
1070,649,2025-01-13,Fantasia,Livros,42.86,3,128.58
1071,1028,2024-10-25,Cafeteira,Casa e Cozinha,114.54,2,229.08
1072,653,2024-01-20,Notebook,Eletrônicos,2294.17,1,2294.17
1073,407,2025-04-09,Smartwatch,Eletrônicos,487.27,2,974.54
1074,1421,2025-07-09,Bicicleta Ergométrica,Esportes e Lazer,764.49,1,764.49
1075,358,2024-08-23,Fone de Ouvido,Eletrônicos,153.14,1,153.14
1076,119,2025-07-18,Barraca de Camping,Esportes e Lazer,231.63,2,463.26
1077,150,2023-12-11,Calça Jeans,Moda e Acessórios,125.5,1,125.5
1078,1213,2025-02-20,Autoajuda,Livros,31.28,1,31.28
1079,621,2024-06-01,Panela de Pressão,Casa e Cozinha,147.77,1,147.77
1080,714,2024-01-17,Smartwatch,Eletrônicos,531.74,2,1063.48
1081,705,2024-06-09,Notebook,Eletrônicos,2486.96,1,2486.96
1082,686,2024-09-09,Óculos de Sol,Moda e Acessórios,94.19,1,94.19
1083,174,2024-06-30,Biografia,Livros,54.82,1,54.82
1084,213,2023-12-05,Jogo de Pratos,Casa e Cozinha,96.59,1,96.59
1085,666,2024-06-06,Panela de Pressão,Casa e Cozinha,139.17,2,278.34
1086,1397,2024-10-30,Bicicleta Ergométrica,Esportes e Lazer,669.58,5,3347.9
1087,182,2024-11-22,Jogo de Pratos,Casa e Cozinha,109.63,1,109.63
1088,738,2024-08-27,Calça Jeans,Moda e Acessórios,118.96,2,237.92
1089,813,2025-07-08,Fone de Ouvido,Eletrônicos,149.18,2,298.36
1090,587,2024-03-15,Liquidificador,Casa e Cozinha,86.42,4,345.68
1091,1156,2023-08-10,Tablet,Eletrônicos,720.17,2,1440.34
1092,1311,2023-09-11,Liquidificador,Casa e Cozinha,74.13,2,148.26
1093,642,2024-01-24,Fantasia,Livros,43.04,1,43.04
1094,598,2025-06-09,Smartwatch,Eletrônicos,475.76,2,951.52
1095,1497,2023-11-04,Ficção Científica,Livros,39.03,1,39.03
1096,231,2023-11-17,Bolsa de Couro,Moda e Acessórios,190.51,1,190.51
1097,993,2025-01-28,Tablet,Eletrônicos,848.89,1,848.89
1098,449,2024-05-25,Bolsa de Couro,Moda e Acessórios,187.51,2,375.02
1099,1460,2025-01-17,Biografia,Livros,49.07,1,49.07
1100,1085,2025-01-14,Smartwatch,Eletrônicos,453.15,5,2265.75
1101,658,2023-08-28,Bolsa de Couro,Moda e Acessórios,171.04,2,342.08
1102,646,2025-03-01,Calça Jeans,Moda e Acessórios,120.32,2,240.64
1103,1383,2023-12-26,Camiseta,Moda e Acessórios,52.39,3,157.17
1104,569,2023-12-29,Fone de Ouvido,Eletrônicos,160.03,1,160.03
1105,518,2023-10-24,Barraca de Camping,Esportes e Lazer,250.9,1,250.9
1106,940,2024-08-14,Bicicleta Ergométrica,Esportes e Lazer,737.45,1,737.45
1107,828,2024-12-22,Bolsa de Couro,Moda e Acessórios,170.14,3,510.42
1108,1001,2023-08-25,Tênis,Moda e Acessórios,182.52,1,182.52
1109,552,2025-01-21,Tablet,Eletrônicos,792.95,2,1585.9
1110,849,2024-06-12,Barraca de Camping,Esportes e Lazer,259.77,3,779.31
1111,249,2023-08-16,Smartphone,Eletrônicos,1277.05,1,1277.05
1112,1024,2024-11-04,Bolsa de Couro,Moda e Acessórios,164.97,1,164.97
1113,467,2023-11-11,Biografia,Livros,49.31,1,49.31
1114,217,2025-04-16,Romance,Livros,38.4,1,38.4
1115,1186,2024-11-16,Biografia,Livros,45.43,1,45.43
1116,116,2024-02-02,Liquidificador,Casa e Cozinha,78.87,3,236.61
1117,422,2024-11-11,Tablet,Eletrônicos,821.17,1,821.17
1118,1212,2024-12-27,Liquidificador,Casa e Cozinha,73.73,3,221.19
1119,762,2025-01-31,Fone de Ouvido,Eletrônicos,153.75,2,307.5
1120,767,2024-05-15,Cafeteira,Casa e Cozinha,109.34,2,218.68
1121,1180,2023-08-03,Calça Jeans,Moda e Acessórios,113.38,1,113.38
1122,735,2024-03-26,Barraca de Camping,Esportes e Lazer,262.28,3,786.84
1123,1399,2025-02-01,Smartwatch,Eletrônicos,471.45,3,1414.35
1124,1076,2024-01-25,Bolsa de Couro,Moda e Acessórios,163.45,2,326.9
1125,104,2025-05-15,Panela de Pressão,Casa e Cozinha,160.62,2,321.24
1126,600,2025-02-13,Ficção Científica,Livros,43.02,4,172.08
1127,358,2025-07-19,Bicicleta Ergométrica,Esportes e Lazer,739.13,2,1478.26
1128,579,2024-11-02,Biografia,Livros,45.59,1,45.59
1129,1426,2025-01-11,Panela de Pressão,Casa e Cozinha,135.09,1,135.09
1130,442,2024-07-28,Biografia,Livros,50.75,3,152.25
1131,362,2024-01-12,Smartphone,Eletrônicos,1144.92,3,3434.76
1132,1403,2024-10-01,Cafeteira,Casa e Cozinha,122.29,1,122.29
1133,264,2024-04-18,Notebook,Eletrônicos,2720.89,1,2720.89
1134,1149,2024-07-13,Cafeteira,Casa e Cozinha,111.91,3,335.73
1135,960,2025-05-18,Bicicleta Ergométrica,Esportes e Lazer,704.43,5,3522.15
1136,383,2024-05-16,Bolsa de Couro,Moda e Acessórios,176.23,1,176.23
1137,1276,2024-04-11,Biografia,Livros,54.65,4,218.6
1138,748,2025-02-15,Corda de Pular,Esportes e Lazer,20.12,5,100.6
1139,823,2025-02-02,Autoajuda,Livros,32.92,1,32.92
1140,1327,2024-06-04,Autoajuda,Livros,27.57,1,27.57
1141,932,2023-11-18,Camiseta,Moda e Acessórios,49.69,4,198.76
1142,847,2025-05-18,Corda de Pular,Esportes e Lazer,20.15,1,20.15
1143,1367,2023-08-30,Barraca de Camping,Esportes e Lazer,250.36,2,500.72
1144,343,2024-04-24,Jogo de Pratos,Casa e Cozinha,108.13,1,108.13
1145,1098,2024-07-03,Bicicleta Ergométrica,Esportes e Lazer,736.6,1,736.6
1146,199,2023-09-30,Tablet,Eletrônicos,732.75,2,1465.5
1147,470,2025-02-12,Tênis,Moda e Acessórios,212.57,5,1062.85
1148,1241,2024-11-15,Tênis,Moda e Acessórios,203.53,1,203.53
1149,1091,2024-08-11,Biografia,Livros,50.85,1,50.85
1150,1080,2024-02-03,Smartwatch,Eletrônicos,505.21,2,1010.42
1151,1467,2024-08-12,Liquidificador,Casa e Cozinha,83.51,1,83.51
1152,1483,2023-09-09,Barraca de Camping,Esportes e Lazer,242.25,1,242.25
1153,1089,2024-08-04,Bola de Futebol,Esportes e Lazer,55.01,5,275.05
1154,1403,2023-10-27,Smartwatch,Eletrônicos,485.26,1,485.26
1155,513,2025-07-14,Fone de Ouvido,Eletrônicos,151.45,1,151.45
1156,858,2024-03-23,Romance,Livros,36.89,1,36.89
1157,1288,2024-10-01,Ficção Científica,Livros,40.3,2,80.6
1158,127,2024-10-24,Smartphone,Eletrônicos,1214.65,1,1214.65
1159,632,2024-11-17,Bola de Futebol,Esportes e Lazer,62.09,2,124.18
1160,137,2023-10-11,Corda de Pular,Esportes e Lazer,21.03,2,42.06
1161,163,2024-03-28,Fantasia,Livros,48.78,5,243.9
1162,1242,2023-10-24,Tablet,Eletrônicos,810.57,1,810.57
1163,475,2024-10-18,Tablet,Eletrônicos,832.75,2,1665.5
1164,618,2024-06-29,Smartphone,Eletrônicos,1150.66,4,4602.64
1165,1272,2025-07-13,Óculos de Sol,Moda e Acessórios,81.7,1,81.7
1166,529,2025-04-09,Autoajuda,Livros,28.83,1,28.83
1167,1018,2024-05-18,Romance,Livros,35.12,1,35.12
1168,1221,2023-08-05,Bolsa de Couro,Moda e Acessórios,192.6,3,577.8
1169,1490,2024-08-12,Barraca de Camping,Esportes e Lazer,261.32,2,522.64
1170,278,2025-01-21,Bicicleta Ergométrica,Esportes e Lazer,763.59,2,1527.18
1171,937,2025-05-28,Biografia,Livros,48.48,5,242.4
1172,967,2023-08-11,Fantasia,Livros,43.1,1,43.1
1173,1215,2023-09-17,Corda de Pular,Esportes e Lazer,18.19,2,36.38
1174,995,2024-12-08,Jogo de Pratos,Casa e Cozinha,96.88,1,96.88
1175,1462,2025-05-13,Biografia,Livros,48.13,1,48.13
1176,122,2024-03-31,Autoajuda,Livros,32.82,1,32.82
1177,875,2023-10-11,Notebook,Eletrônicos,2632.34,2,5264.68
1178,130,2023-11-22,Corda de Pular,Esportes e Lazer,18.24,1,18.24
1179,320,2025-02-22,Liquidificador,Casa e Cozinha,79.62,1,79.62
1180,1092,2024-02-28,Fone de Ouvido,Eletrônicos,145.34,2,290.68
1181,131,2024-03-30,Bicicleta Ergométrica,Esportes e Lazer,645.78,3,1937.34
1182,502,2023-12-05,Tablet,Eletrônicos,760.98,1,760.98
1183,1484,2025-06-24,Bola de Futebol,Esportes e Lazer,54.94,2,109.88
1184,1398,2025-04-29,Tablet,Eletrônicos,778.53,1,778.53
1185,140,2025-04-18,Notebook,Eletrônicos,2347.75,1,2347.75
1186,1060,2024-11-30,Bolsa de Couro,Moda e Acessórios,171.38,4,685.52
1187,772,2025-01-15,Calça Jeans,Moda e Acessórios,119.68,1,119.68
1188,966,2024-12-09,Romance,Livros,33.98,1,33.98
1189,1481,2024-03-31,Liquidificador,Casa e Cozinha,73.35,5,366.75
1190,425,2024-11-01,Bola de Futebol,Esportes e Lazer,64.55,1,64.55
1191,1163,2023-09-11,Jogo de Pratos,Casa e Cozinha,107.71,5,538.55
1192,1350,2024-03-19,Carregador Portátil,Eletrônicos,88.98,1,88.98
1193,121,2024-08-24,Óculos de Sol,Moda e Acessórios,81.47,1,81.47
1194,937,2025-07-06,Bicicleta Ergométrica,Esportes e Lazer,724.15,3,2172.45
1195,818,2023-09-13,Fantasia,Livros,48.04,2,96.08
1196,1435,2024-07-24,Autoajuda,Livros,32.72,1,32.72
1197,1051,2024-12-12,Camiseta,Moda e Acessórios,54.8,1,54.8
1198,952,2023-10-13,Liquidificador,Casa e Cozinha,75.96,1,75.96
